No.	Functions	DeviceProperty Code / Command Id	Mode	ILX-LR1	ILCE-1M2	ILCE-1	ILCE-9M3	ILCE-9M2	ILCE-7RM5	ILCE-7RM4A	ILCE-7RM4	ILCE-7CR	ILCE-7SM3	ILCE-7M4	ILCE-7CM2	ILCE-7C	ILCE-6700	MPC-2610	ILME-FX6	ILME-FX2	ILME-FX3A	ILME-FX3	ILME-FX30	PXW-Z200	HXR-NX800	ZV-E1	ZV-E10M2	DSC-RX0M2	ILME-FR7	BRC-AM7
117	Exposure Control Mode	:ref:`CrDeviceProperty_ExposureCtrlType<dp-ExposureCtrlType>`	R/T	\-	✔	✔	✔	\-	✔	\-	\-	✔	✔	\-	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	\-	\-	\-
118	Monitor LUT Setting(All Line)	:ref:`CrDeviceProperty_MonitorLUTSetting<dp-MonitorLUTSetting>`	R/T	✔	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
119	ISO Current Sensitivity	:ref:`CrDeviceProperty_IsoCurrentSensitivity<dp-IsoCurrentSensitivity>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	\-	✔	\-	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	✔	✔
120	Camera-Setting Save Operation Enable Status	:ref:`CrDeviceProperty_CameraSetting_SaveOperationEnableStatus<dp-CameraSetting_SaveOperationEnableStatus>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
121	Camera-Setting Read Operation Enable Status	:ref:`CrDeviceProperty_CameraSetting_ReadOperationEnableStatus<dp-CameraSetting_ReadOperationEnableStatus>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
122	Camera-Setting Save/Read State	:ref:`CrDeviceProperty_CameraSetting_SaveRead_State<dp-CameraSetting_SaveRead_State>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
123	Camera Setting Reset Enable Status	:ref:`CrDeviceProperty_CameraSettingsResetEnableStatus<dp-CameraSettingsResetEnableStatus>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
124	Execute Camera Setting Reset	:ref:`CrCommandId_CameraSettingsReset<command-CameraSettingsReset>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
125	APS-C or Full Switching Setting	:ref:`CrDeviceProperty_APS_C_or_Full_SwitchingSetting<dp-APS_C_or_Full_SwitchingSetting>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	\-	\-	\-	✔	\-	\-	\-	\-
126	APS-C or Full Switching Enable Status	:ref:`CrDeviceProperty_APS_C_or_Full_SwitchingEnableStatus<dp-APS_C_or_Full_SwitchingEnableStatus>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	\-	\-	\-	✔	✔	\-	\-	\-
127	Execute APS-C or Full Switching	:ref:`CrCommandId_APS_C_or_Full_Switching<command-APS_C_or_Full_Switching>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	\-	\-	\-	✔	\-	\-	\-	\-
128	Execute Movie Rec Button (2nd)	:ref:`CrCommandId_MovieRecButtonToggle<command-MovieRecButtonToggle>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
129	Execute Cancel Remote Touch Operation	:ref:`CrCommandId_CancelRemoteTouchOperation<command-CancelRemoteTouchOperation>`	R/T	\-	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	✔	✔
130	Focal Distance in Meter	:ref:`CrDeviceProperty_FocalDistanceInMeter<dp-FocalDistanceInMeter>`	R/T	\*1	\*1	\*1	\*1	\-	\-	\-	\-	\-	\*1	\-	\-	\-	\-	\*1	\*1	\*1	\-	\-	\-	\*1	\*1	\-	\*1	\-	\*1	\*1
131	Focal Distance in Feet	:ref:`CrDeviceProperty_FocalDistanceInFeet<dp-FocalDistanceInFeet>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\*1	\*1	\-	\-	\-	\-	\*1	\*1	\-	\-	\-	\*1	\*1
132	Focal Distance Unit Setting	:ref:`CrDeviceProperty_FocalDistanceUnitSetting<dp-FocalDistanceUnitSetting>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\*1	\*1	\-	\-	\-	\-	\*1	\*1	\-	\-	\-	\*1	\*1
133	Digital Zoom Scale	:ref:`CrDeviceProperty_DigitalZoomScale<dp-DigitalZoomScale>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\*1	\*1	\-	\-	\-	\-	\*1	\*1	\-	\-	\-	\*1	\*1
134	Zoom Distance	:ref:`CrDeviceProperty_ZoomDistance<dp-ZoomDistance>`	R/T	\*1	\*1	\*1	\*1	\-	\*1	\-	\-	\*1	\*1	\*1	\*1	\-	✔	\*1	\*1	\*1	\*1	\*1	\*1	\*1	\*1	\*1	\*1	\-	\*1	\*1
135	Zoom Distance Unit Setting	:ref:`CrDeviceProperty_ZoomDistanceUnitSetting<dp-ZoomDistanceUnitSetting>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\*1	\*1	\-	\-	\-	\-	\*1	\*1	\-	\-	\-	\*1	\*1
136	Shutter Mode Status	:ref:`CrDeviceProperty_ShutterModeStatus<dp-ShutterModeStatus>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
137	Shutter Slow	:ref:`CrDeviceProperty_ShutterSlow<dp-ShutterSlow>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	\-	\*1	\*1
138	Shutter Slow Frames	:ref:`CrDeviceProperty_ShutterSlowFrames<dp-ShutterSlowFrames>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	\-	✔	✔
139	Recording Resolution For Main(Movie)	:ref:`CrDeviceProperty_Movie_Recording_ResolutionForMain<dp-Movie_Recording_ResolutionForMain>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	\*1	\-	\-	\-	\-	\*1	\*1	\-	\-	\-	\*1	\*1
140	Recording Resolution For Proxy(Movie)	:ref:`CrDeviceProperty_Movie_Recording_ResolutionForProxy<dp-Movie_Recording_ResolutionForProxy>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\*1	\*1	\-	\-	\-	\-	\*1	\*1	\-	\-	\-	\-	\-
141	Recording Frame Rate Proxy Setting(Movie)	:ref:`CrDeviceProperty_Movie_Recording_FrameRateProxySetting<dp-Movie_Recording_FrameRateProxySetting>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\*1	\*1	\-	\-	\-	\-	\*1	\*1	\-	\-	\-	\*1	\*1
142	Movie Shooting Mode	:ref:`CrDeviceProperty_MovieShootingMode<dp-MovieShootingMode>`	R/T	✔	✔	\-	✔	\-	\-	\-	\-	✔	\-	\-	✔	\-	✔	✔	\*1	✔	✔	✔	✔	✔	✔	\-	✔	\-	✔	✔
143	Movie Shooting Mode Color Gamut	:ref:`CrDeviceProperty_MovieShootingModeColorGamut<dp-MovieShootingModeColorGamut>`	R/T	✔	✔	\-	✔	\-	\-	\-	\-	✔	\-	\-	✔	\-	✔	✔	\*1	✔	✔	✔	✔	\*1	\*1	\-	✔	\-	\*1	\*1
144	Movie Shooting Mode Target Display	:ref:`CrDeviceProperty_MovieShootingModeTargetDisplay<dp-MovieShootingModeTargetDisplay>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\*1	\*1	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	\*1
145	Depth of Field Adjustment Mode	:ref:`CrDeviceProperty_DepthOfFieldAdjustmentMode<dp-DepthOfFieldAdjustmentMode>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\*1	\*1	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	\-
146	Depth of Field Adjustment Interlocking Mode State	:ref:`CrDeviceProperty_DepthOfFieldAdjustmentInterlockingMode<dp-DepthOfFieldAdjustmentInterlockingMode>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	\-
147	Color Temperature Step	:ref:`CrDeviceProperty_ColortempStep<dp-ColortempStep>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
148	White Balance Mode Setting	:ref:`CrDeviceProperty_WhiteBalanceModeSetting<dp-WhiteBalanceModeSetting>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
149	White Balance Tint	:ref:`CrDeviceProperty_WhiteBalanceTint<dp-WhiteBalanceTint>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	\*1	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
150	White Balance Tint Step	:ref:`CrDeviceProperty_WhiteBalanceTintStep<dp-WhiteBalanceTintStep>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
151	Execute the Focus Operation	:ref:`CrDeviceProperty_Focus_Operation<dp-Focus_Operation>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
152	Focus Speed Range	:ref:`CrDeviceProperty_Focus_Speed_Range<dp-Focus_Speed_Range>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
153	Shutter ECS Setting	:ref:`CrDeviceProperty_ShutterECSSetting<dp-ShutterECSSetting>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
154	Shutter ECS Number	:ref:`CrDeviceProperty_ShutterECSNumber<dp-ShutterECSNumber>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\*1	\*1	\-	\-	\-	\-	\*1	\*1	\-	\-	\-	\*1	\*1
155	Shutter ECS Number Step	:ref:`CrDeviceProperty_ShutterECSNumberStep<dp-ShutterECSNumberStep>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
156	Shutter ECS Frequency	:ref:`CrDeviceProperty_ShutterECSFrequency<dp-ShutterECSFrequency>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\*1	\*1	\-	\-	\-	\-	\*1	\*1	\-	\-	\-	\*1	\*1
157	Button Assignment Assignable 1	:ref:`CrDeviceProperty_ButtonAssignmentAssignable1<dp-ButtonAssignmentAssignable1>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
158	Button Assignment Assignable 2	:ref:`CrDeviceProperty_ButtonAssignmentAssignable2<dp-ButtonAssignmentAssignable2>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
159	Button Assignment Assignable 3	:ref:`CrDeviceProperty_ButtonAssignmentAssignable3<dp-ButtonAssignmentAssignable3>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
160	Button Assignment Assignable 4	:ref:`CrDeviceProperty_ButtonAssignmentAssignable4<dp-ButtonAssignmentAssignable4>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
161	Button Assignment Assignable 5	:ref:`CrDeviceProperty_ButtonAssignmentAssignable5<dp-ButtonAssignmentAssignable5>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
162	Button Assignment Assignable 6	:ref:`CrDeviceProperty_ButtonAssignmentAssignable6<dp-ButtonAssignmentAssignable6>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
163	Button Assignment Assignable 7	:ref:`CrDeviceProperty_ButtonAssignmentAssignable7<dp-ButtonAssignmentAssignable7>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
164	Button Assignment Assignable 8	:ref:`CrDeviceProperty_ButtonAssignmentAssignable8<dp-ButtonAssignmentAssignable8>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
165	Button Assignment Assignable 9	:ref:`CrDeviceProperty_ButtonAssignmentAssignable9<dp-ButtonAssignmentAssignable9>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
166	Button Assignment LensAssignable 1	:ref:`CrDeviceProperty_ButtonAssignmentLensAssignable1<dp-ButtonAssignmentLensAssignable1>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
167	Assignable Button 1	:ref:`CrDeviceProperty_AssignableButton1<dp-AssignableButton1>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
168	Assignable Button 2	:ref:`CrDeviceProperty_AssignableButton2<dp-AssignableButton2>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
169	Assignable Button 3	:ref:`CrDeviceProperty_AssignableButton3<dp-AssignableButton3>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
170	Assignable Button 4	:ref:`CrDeviceProperty_AssignableButton4<dp-AssignableButton4>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
171	Assignable Button 5	:ref:`CrDeviceProperty_AssignableButton5<dp-AssignableButton5>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
172	Assignable Button 6	:ref:`CrDeviceProperty_AssignableButton6<dp-AssignableButton6>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
173	Assignable Button 7	:ref:`CrDeviceProperty_AssignableButton7<dp-AssignableButton7>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
174	Assignable Button 8	:ref:`CrDeviceProperty_AssignableButton8<dp-AssignableButton8>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
175	Assignable Button 9	:ref:`CrDeviceProperty_AssignableButton9<dp-AssignableButton9>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
